video_name,lmin,lmax,n_Tpos,trk_rate
Draconids-12mm1.01-1950-163100.avi,140,255,0,0.0
Draconids-12mm1.02-1500-163500.avi,140,255,0,0.0
Draconids-12mm1.09-800-164900.avi,217,255,1,0.5
Draconids-12mm1.11-150-165300.avi,140,255,0,0.0
Draconids-12mm1.13-1350-165800.avi,188,191,1,0.89
Draconids-12mm1.15-650-170200.avi,222,250,1,0.87
Draconids-12mm1.16-250-170400.avi,235,240,1,0.67
Draconids-12mm1.20-650-171300.avi,222,232,1,0.57
Draconids-12mm1.26-3100-172700.avi,230,249,1,0.89
Draconids-12mm1.27-2800-173000.avi,228,237,1,0.92
Draconids-12mm1.28-350-173100.avi,207,241,1,0.73
Draconids-12mm1.30-1700-173600.avi,239,254,1,0.61
Draconids-12mm1.33-2350-174300.avi,230,253,1,1.0
Draconids-12mm2.00.01-3000-201200.avi,140,255,0,0.0
Draconids-12mm2.00.01-3100-201200.avi,140,255,0,0.0
Draconids-12mm2.00.02-1550-201300.avi,140,255,0,0.0
Draconids-12mm2.00.03-2000-201600.avi,140,255,0,0.0
Draconids-12mm2.00.04-1550-201900.avi,253,254,1,0.71
Draconids-12mm2.00.04-2550-201900.avi,249,254,1,0.46
Draconids-12mm2.00.05-150-202000.avi,249,254,1,0.4
Draconids-12mm2.00.05-1600-202100.avi,140,255,0,0.0
Draconids-12mm2.00.05-2900-202100.avi,220,236,1,0.57
Draconids-12mm2.00.05-2950-202100.avi,220,236,1,0.43
Draconids-12mm2.00.06-1400-202200.avi,229,249,1,0.5
Draconids-12mm2.00.08-3250-202700.avi,140,255,0,0.0
Draconids-12mm2.00.09-1250-202900.avi,215,255,1,0.33
Draconids-12mm2.00.09-1450-202900.avi,140,255,0,0.0
Draconids-12mm2.00.11-650-203300.avi,245,250,1,0.88
Draconids-12mm2.00.14-800-204000.avi,250,251,1,0.83
Draconids-12mm2.00.15-1850-204300.avi,244,251,1,0.33
Draconids-12mm2.00.15-2950-204300.avi,140,255,0,0.0
Draconids-12mm2.00.15-3050-204300.avi,140,255,0,0.0
Draconids-12mm2.00.21-1250-205500.avi,140,255,0,0.0
Draconids-12mm2.00.22-2250-205900.avi,233,236,1,1.0
Draconids-12mm2.00.27-1750-210900.avi,185,192,1,0.35
Draconids-12mm2.00.28-1800-211100.avi,159,191,1,0.71
Draconids-12mm2.00.28-2400-211200.avi,235,247,1,0.36
