,trk_rate,mean_roa,mean_nroi,mean_nassoc,mean_mean_err,mean_std_dev
0,0.29,0.6597703222703223,6.194444444444445,3.861111111111111,0.13603055555555554,0.027783333333333333
1,0.29,0.6597703222703223,6.194444444444445,3.861111111111111,0.13603055555555554,0.027783333333333333
2,0.29,0.6749158249158249,5.944444444444445,3.7777777777777777,0.13477777777777777,0.027969444444444443
3,0.29,0.6887566137566137,5.611111111111111,3.638888888888889,0.11836666666666666,0.02220833333333333
4,0.29,0.7071097883597884,5.333333333333333,3.5277777777777777,0.09624444444444444,0.012561111111111113
5,0.29,0.7254960317460318,5.055555555555555,3.4444444444444446,0.10076666666666666,0.010730555555555556
6,0.29,0.7215608465608466,4.833333333333333,3.3055555555555554,0.09130277777777777,0.012408333333333334
7,0.29,0.7360119047619048,4.638888888888889,3.2777777777777777,0.09231666666666666,0.008425
8,0.29,0.7360119047619048,4.638888888888889,3.2777777777777777,0.09231666666666666,0.008425
9,0.29,0.7418650793650793,4.444444444444445,3.1666666666666665,0.09013055555555555,0.009544444444444446
10,0.29,0.7453042328042329,4.305555555555555,3.111111111111111,0.07361944444444443,0.00855
11,0.29,0.748611111111111,4.194444444444445,3.0,0.08400833333333332,0.00878888888888889
12,0.29,0.7589285714285714,4.083333333333333,2.9722222222222223,0.1147888888888889,0.0077333333333333325
13,0.29,0.7542989417989419,4.027777777777778,2.9166666666666665,0.13887222222222226,0.009383333333333332
14,0.29,0.7644841269841269,3.9166666666666665,2.861111111111111,0.122525,0.006541666666666667
15,0.29,0.7695767195767196,3.8333333333333335,2.8333333333333335,0.11911944444444446,0.005591666666666667
16,0.29,0.7695767195767196,3.8333333333333335,2.8333333333333335,0.11911944444444446,0.005591666666666667
17,0.29,0.7672619047619048,3.7222222222222223,2.75,0.11003333333333333,0.004022222222222222
18,0.29,0.7703703703703703,3.5277777777777777,2.611111111111111,0.10877222222222221,0.007899999999999999
19,0.29,0.7587962962962963,3.4166666666666665,2.4722222222222223,0.10581388888888889,0.0047666666666666664
20,0.29,0.7680555555555555,3.388888888888889,2.4722222222222223,0.10908055555555557,0.004794444444444445
21,0.29,0.7773148148148148,3.3055555555555554,2.4444444444444446,0.12284166666666668,0.003966666666666667
22,0.29,0.7842592592592592,3.2777777777777777,2.4444444444444446,0.1365611111111111,0.003966666666666667
23,0.29,0.7842592592592592,3.2777777777777777,2.4444444444444446,0.1365611111111111,0.003966666666666667
24,0.29,0.8046296296296296,3.1944444444444446,2.4444444444444446,0.12657222222222222,0.004075
25,0.29,0.6597703222703223,6.194444444444445,3.861111111111111,0.13603055555555554,0.027783333333333333
26,0.29,0.6749158249158249,5.944444444444445,3.7777777777777777,0.13477777777777777,0.027969444444444443
27,0.29,0.7071097883597884,5.333333333333333,3.5277777777777777,0.09624444444444444,0.012561111111111113
28,0.29,0.7215608465608466,4.833333333333333,3.3055555555555554,0.09130277777777777,0.012408333333333334
29,0.29,0.7360119047619048,4.638888888888889,3.2777777777777777,0.09231666666666666,0.008425
30,0.29,0.7453042328042329,4.305555555555555,3.111111111111111,0.07361944444444443,0.00855
31,0.29,0.7589285714285714,4.083333333333333,2.9722222222222223,0.1147888888888889,0.0077333333333333325
32,0.29,0.7644841269841269,3.9166666666666665,2.861111111111111,0.122525,0.006541666666666667
33,0.29,0.7695767195767196,3.8333333333333335,2.8333333333333335,0.11911944444444446,0.005591666666666667
34,0.29,0.7703703703703703,3.5277777777777777,2.611111111111111,0.10877222222222221,0.007899999999999999
35,0.29,0.7680555555555555,3.388888888888889,2.4722222222222223,0.10908055555555557,0.004794444444444445
36,0.29,0.7842592592592592,3.2777777777777777,2.4444444444444446,0.1365611111111111,0.003966666666666667
37,0.29,0.6597703222703223,6.194444444444445,3.861111111111111,0.13603055555555554,0.027783333333333333
38,0.29,0.6902447089947089,5.583333333333333,3.638888888888889,0.11836666666666666,0.02220833333333333
39,0.29,0.7215608465608466,4.833333333333333,3.3055555555555554,0.09130277777777777,0.012408333333333334
40,0.29,0.7418650793650793,4.444444444444445,3.1666666666666665,0.09013055555555555,0.009544444444444446
41,0.29,0.7589285714285714,4.083333333333333,2.9722222222222223,0.1147888888888889,0.0077333333333333325
42,0.29,0.7695767195767196,3.8333333333333335,2.8333333333333335,0.11911944444444446,0.005591666666666667
43,0.29,0.7703703703703703,3.5277777777777777,2.611111111111111,0.10877222222222221,0.007899999999999999
44,0.29,0.7773148148148148,3.3055555555555554,2.4444444444444446,0.12284166666666668,0.003966666666666667
45,0.29,0.6597703222703223,6.194444444444445,3.861111111111111,0.13603055555555554,0.027783333333333333
46,0.29,0.7071097883597884,5.333333333333333,3.5277777777777777,0.09624444444444444,0.012561111111111113
47,0.29,0.7360119047619048,4.638888888888889,3.2777777777777777,0.09231666666666666,0.008425
48,0.29,0.7589285714285714,4.083333333333333,2.9722222222222223,0.1147888888888889,0.0077333333333333325
49,0.29,0.7672619047619048,3.8055555555555554,2.8055555555555554,0.11911944444444446,0.005591666666666667
50,0.29,0.7680555555555555,3.388888888888889,2.4722222222222223,0.10908055555555557,0.004794444444444445
51,0.29,0.6612584175084175,6.166666666666667,3.861111111111111,0.13603055555555554,0.027783333333333333
52,0.29,0.7254960317460318,5.055555555555555,3.4444444444444446,0.10076666666666666,0.010730555555555556
53,0.29,0.7453042328042329,4.305555555555555,3.111111111111111,0.07361944444444443,0.00855
54,0.29,0.7672619047619048,3.8055555555555554,2.8055555555555554,0.11911944444444446,0.005591666666666667
