video_name,start_frame,end_frame,lmin,lmax,gt,n_Tpos,trk_rate
window_3_sony_0425-0430UTC.mp4,7058,7091,57,71,1,1,1.0
window_3_sony_0500-0505UTC.mp4,137,170,43,52,1,1,1.0
window_3_sony_0500-0505UTC.mp4,504,537,51,74,1,1,1.0
window_3_sony_0500-0505UTC.mp4,1172,1203,52,59,1,1,0.62
window_3_sony_0500-0505UTC.mp4,2262,2289,40,43,1,1,0.75
window_3_sony_0500-0505UTC.mp4,2532,2566,63,71,1,1,1.0
window_3_sony_0500-0505UTC.mp4,2624,2667,42,52,1,1,1.0
window_3_sony_0500-0505UTC.mp4,2883,2912,45,49,1,1,0.5
window_3_sony_0500-0505UTC.mp4,3528,3560,51,61,1,1,1.0
window_3_sony_0500-0505UTC.mp4,4537,4568,46,57,1,1,0.88
window_3_sony_0500-0505UTC.mp4,4781,4809,67,70,1,1,0.8
window_3_sony_0500-0505UTC.mp4,5147,5184,77,79,1,1,0.79
window_3_sony_0500-0505UTC.mp4,5217,5271,40,47,2,2,0.89
window_3_sony_0500-0505UTC.mp4,6314,6349,40,53,1,1,1.0
window_3_sony_0500-0505UTC.mp4,7073,7109,62,65,1,1,0.92
window_3_sony_0500-0505UTC.mp4,7377,7404,50,60,1,1,1.0
window_3_sony_0500-0505UTC.mp4,7422,7457,69,75,1,1,0.83
