name,start_frame,end_frame,lmin,lmax,gt,tpos,trk_rate
window_3_sony_0425-0430UTC.mp4,7058,7091,58,73,1,1,1.0
window_3_sony_0500-0505UTC.mp4,137,170,41,48,1,1,1.0
window_3_sony_0500-0505UTC.mp4,504,537,75,78,1,1,1.0
window_3_sony_0500-0505UTC.mp4,1172,1203,53,54,1,1,0.62
window_3_sony_0500-0505UTC.mp4,2262,2289,58,71,1,1,0.75
window_3_sony_0500-0505UTC.mp4,2532,2566,41,48,1,1,1.0
window_3_sony_0500-0505UTC.mp4,2624,2667,40,57,1,1,1.0
window_3_sony_0500-0505UTC.mp4,2883,2912,43,51,1,1,0.5
window_3_sony_0500-0505UTC.mp4,3528,3560,40,41,1,1,1.0
window_3_sony_0500-0505UTC.mp4,4537,4568,46,57,1,1,0.88
window_3_sony_0500-0505UTC.mp4,4781,4809,42,50,1,1,1.0
window_3_sony_0500-0505UTC.mp4,5147,5184,72,76,1,1,0.79
window_3_sony_0500-0505UTC.mp4,5217,5271,46,58,2,2,0.86
window_3_sony_0500-0505UTC.mp4,6314,6349,41,49,1,1,1.0
window_3_sony_0500-0505UTC.mp4,7073,7109,50,65,1,1,1.0
window_3_sony_0500-0505UTC.mp4,7377,7404,49,50,1,1,1.0
window_3_sony_0500-0505UTC.mp4,7422,7457,70,71,1,1,0.83
