vid_in_path,vid_in_start,vid_in_stop,vid_in_skip,vid_in_buff,vid_in_loop,vid_in_threads,light_min,light_max,ccl_fra_path,ccl_fra_id,mrp_s_min,mrp_s_max,knn_k,knn_d,knn_s,trk_ext_d,trk_ext_o,trk_angle,trk_star_min,trk_meteor_min,trk_meteor_max,trk_ddev,trk_all,trk_bb_path,trk_mag_path,log_path,out_track_file
Draconids-12mm2.00.06-1400-202200.avi,,,,,,,230,255,,,,,,,,,,,,,,,True,track_bb.txt,,,tracks.txt
Draconids-12mm1.30-1700-173600.avi,,,,,,,185,210,,,,,,,,,,,,,,,True,track_bb.txt,,,tracks.txt
Draconids-12mm1.30-1700-173600.avi,,,,,,,194,219,,,,,,,,,,,,,,,True,track_bb.txt,,,tracks.txt
Draconids-12mm1.30-1700-173600.avi,,,,,,,203,228,,,,,,,,,,,,,,,True,track_bb.txt,,,tracks.txt
Draconids-12mm1.30-1700-173600.avi,,,,,,,212,237,,,,,,,,,,,,,,,True,track_bb.txt,,,tracks.txt
Draconids-12mm2.00.14-800-204000.avi,,,,,,,230,255,,,,,,,,,,,,,,,True,track_bb.txt,,,tracks.txt
Draconids-12mm1.20-650-171300.avi,,,,,,,212,237,,,,,,,,,,,,,,,True,track_bb.txt,,,tracks.txt
Draconids-12mm1.20-650-171300.avi,,,,,,,221,246,,,,,,,,,,,,,,,True,track_bb.txt,,,tracks.txt
Draconids-12mm1.20-650-171300.avi,,,,,,,230,255,,,,,,,,,,,,,,,True,track_bb.txt,,,tracks.txt
Draconids-12mm1.28-350-173100.avi,,,,,,,194,219,,,,,,,,,,,,,,,True,track_bb.txt,,,tracks.txt
Draconids-12mm1.28-350-173100.avi,,,,,,,203,228,,,,,,,,,,,,,,,True,track_bb.txt,,,tracks.txt
Draconids-12mm1.28-350-173100.avi,,,,,,,212,237,,,,,,,,,,,,,,,True,track_bb.txt,,,tracks.txt
